"N","Project","Spec","Line","Sig","Error"
"41","executive","e2e\cba-intelligence.spec.ts","66","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"42","security","tests\e2e\auth-failure-handling.spec.ts","47","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"43","security","tests\e2e\auth-session-switch.spec.ts","24","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"44","security","tests\e2e\cross-org-block.spec.ts","14","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"45","security","tests\e2e\evidence-misuse.spec.ts","39","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: Timeout 10000ms exceeded."
"46","security","tests\e2e\negative-workflow-transitions.spec.ts","36","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: connect ECONNREFUSED ::1:3002"
"47","security","tests\e2e\org-isolation-negative.spec.ts","42","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: connect ECONNREFUSED ::1:3002"
"48","bilingual-en","e2e\bilingual\_helpers.ts","51","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: connect ECONNREFUSED ::1:3002"
"49","bilingual-fr","e2e\bilingual\_helpers.ts","51","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: connect ECONNREFUSED ::1:3002"
"50","accessibility","e2e\a11y\smoke.spec.ts","88","ECONNREFUSED-beforeAll (§BR-3)","Error: [ue:e2e] Server readiness check timed out after 90000ms (apiRequestContext.get: connect ECONNREFUSED ::1:3002"
