npm warn Unknown project config "node-linker". This will stop working in the next major version of npm.

=== DRIZZLE SCHEMA AUDIT ===
Total Drizzle tables: 556
Total staging tables: 676
Tables with column mismatches: 356
Tables missing from staging entirely: 50

--- COLUMN MISMATCHES (staging has fewer cols than Drizzle) ---
TABLE                                          DRIZZLE  STAGING  MISSING  FILE
comparative_analyses                                17        4       13  analytics.ts
award_history                                       18        5       13  award-templates-schema.ts
calendar_sharing                                    17        4       13  calendar-schema.ts
data_residency_configs                              17        4       13  data-governance-schema.ts
messages                                            16        3       13  domains\communications\messages.ts
user_consents                                       17        4       13  domains\compliance\gdpr.ts
band_council_consent                                18        5       13  domains\compliance\indigenous-data.ts
traditional_knowledge_registry                      18        5       13  domains\compliance\indigenous-data.ts
bank_reconciliation                                 17        4       13  domains\finance\payments.ts
t106_filing_tracking                                17        4       13  domains\finance\transfer-pricing.ts
social_engagement                                   17        4       13  domains\infrastructure\social-media.ts
procurement_bids                                    20        7       13  domains\infrastructure\trust-fmv.ts
training_programs                                   18        5       13  domains\scheduling\training.ts
mobile_notifications                                17        4       13  mobile-devices-schema.ts
mobile_app_config                                   17        4       13  mobile-devices-schema.ts
alert_rules                                         16        4       12  alerting-automation-schema.ts
board_packet_distributions                          16        4       12  board-packet-schema.ts
event_attendees                                     16        4       12  calendar-schema.ts
certification_compliance_reports                    17        5       12  certification-management-schema.ts
reports                                             16        4       12  domains\analytics\reports.ts
communication_channels                              16        4       12  domains\communications\campaigns.ts
outreach_sequences                                  16        4       12  domains\communications\organizer-workflows.ts
outreach_enrollments                                16        4       12  domains\communications\organizer-workflows.ts
push_devices                                        16        4       12  domains\communications\push-notifications.ts
polls                                               16        4       12  domains\communications\surveys.ts
swiss_cold_storage                                  16        4       12  domains\compliance\force-majeure.ts
data_processing_records                             16        4       12  domains\compliance\gdpr.ts
cross_border_transactions                           18        6       12  domains\finance\transfer-pricing.ts
job_classifications                                 18        6       12  domains\member\member-employment.ts
segment_exports                                     17        5       12  domains\member\member-segments.ts
ai_usage_metrics                                    15        4       11  ai-chatbot-schema.ts
ml_predictions                                      15        4       11  analytics.ts
license_renewals                                    16        5       11  certification-management-schema.ts
cms_media_library                                   15        4       11  cms-website-schema.ts
page_analytics                                      15        4       11  cms-website-schema.ts
grievance_workflows                                 16        5       11  domains\claims\workflows.ts
newsletter_templates                                15        4       11  domains\communications\newsletters.ts
push_deliveries                                     15        4       11  domains\communications\push-notifications.ts
geofences                                           17        6       11  domains\compliance\geofence.ts
band_councils                                       16        5       11  domains\compliance\indigenous-data.ts
indigenous_member_data                              15        4       11  domains\compliance\indigenous-data.ts
signature_audit_trail                               15        4       11  domains\documents\signatures.ts
gl_trial_balance                                    15        4       11  domains\finance\accounting.ts
payment_methods                                     15        4       11  domains\finance\payments.ts
currency_enforcement_violations                     15        4       11  domains\finance\transfer-pricing.ts
voting_audit_log                                    15        4       11  domains\governance\voting.ts
case_studies                                        17        6       11  domains\marketing.ts
program_enrollments                                 16        5       11  domains\scheduling\training.ts
remittance_exceptions                               22       11       11  dues-finance-schema.ts
mobile_sync_queue                                   15        4       11  mobile-devices-schema.ts
chat_messages                                       14        4       10  ai-chatbot-schema.ts
chatbot_suggestions                                 14        4       10  ai-chatbot-schema.ts
alert_escalations                                   14        4       10  alerting-automation-schema.ts
security_events                                     16        6       10  audit-security-schema.ts
board_packet_sections                               14        4       10  board-packet-schema.ts
continuing_education                                14        4       10  certification-management-schema.ts
certification_alerts                                15        5       10  certification-management-schema.ts
notification_queue                                  14        4       10  domains\communications\notifications.ts
outreach_steps_log                                  14        4       10  domains\communications\organizer-workflows.ts
emergency_declarations                              14        4       10  domains\compliance\force-majeure.ts
data_retention_policies                             14        4       10  domains\compliance\gdpr.ts
provincial_privacy_config                           14        4       10  domains\compliance\provincial-privacy.ts
provincial_consent                                  14        4       10  domains\compliance\provincial-privacy.ts
external_data_sync_log                              16        6       10  domains\data\benchmarks.ts
signature_audit_log                                 14        4       10  domains\documents\workflows.ts
weekly_threshold_tracking                           14        4       10  domains\finance\taxes.ts
transaction_currency_conversions                    15        5       10  domains\finance\transfer-pricing.ts
budget_pool                                         13        4        9  award-templates-schema.ts
board_packet_templates                              13        4        9  board-packet-schema.ts
certification_types                                 14        5        9  certification-management-schema.ts
remittance_approvals                                14        5        9  clc-per-capita-schema.ts
cms_templates                                       13        4        9  cms-website-schema.ts
pack_download_log                                   15        6        9  defensibility-packs-schema.ts
report_templates                                    13        4        9  domains\analytics\reports.ts
report_executions                                   14        5        9  domains\analytics\reports.ts
grievance_assignments                               15        6        9  domains\claims\workflows.ts
newsletter_recipients                               13        4        9  domains\communications\newsletters.ts
notification_history                                14        5        9  domains\communications\notifications.ts
notifications                                       13        4        9  domains\communications\notifications.ts
notification_bounces                                13        4        9  domains\communications\notifications.ts
survey_responses                                    13        4        9  domains\communications\surveys.ts
cookie_consents                                     13        4        9  domains\compliance\gdpr.ts
data_anonymization_log                              14        5        9  domains\compliance\gdpr.ts
location_tracking_config                            14        5        9  domains\compliance\geofence.ts
payment_cycles                                      13        4        9  domains\finance\payments.ts
payment_disputes                                    13        4        9  domains\finance\payments.ts
voter_eligibility                                   13        4        9  domains\governance\voting.ts
cpi_data                                            13        4        9  domains\infrastructure\trust-fmv.ts
cpi_adjusted_pricing                                16        7        9  domains\infrastructure\trust-fmv.ts
fmv_violations                                      13        4        9  domains\infrastructure\trust-fmv.ts
organizer_impacts                                   14        5        9  domains\marketing.ts
member_addresses                                    13        4        9  domains\member\addresses.ts
member_leaves                                       22       13        9  domains\member\member-employment.ts
dues_rates                                          18        9        9  dues-finance-schema.ts
remittance_line_items                               21       12        9  dues-finance-schema.ts
policy_exceptions                                   13        4        9  policy-engine-schema.ts
ab_tests                                            16        8        8  ab-testing-schema.ts
alert_executions                                    12        4        8  alerting-automation-schema.ts
automation_execution_log                            13        5        8  automation-rules-schema.ts
event_reminders                                     12        4        8  calendar-schema.ts
organization_contacts                               13        5        8  clc-per-capita-schema.ts
chart_of_accounts                                   28       20        8  domains\finance\accounting.ts
cms_blocks                                          12        4        8  cms-website-schema.ts
notification_delivery_log                           12        4        8  domains\communications\notifications.ts
public_content                                      12        4        8  domains\communications\public-content.ts
recovery_time_objectives                            12        4        8  domains\compliance\force-majeure.ts
indigenous_data_access_log                          12        4        8  domains\compliance\indigenous-data.ts
provincial_data_handling                            12        4        8  domains\compliance\provincial-privacy.ts
cost_of_living_data                                 12        4        8  domains\data\benchmarks.ts
contribution_rates                                  13        5        8  domains\data\benchmarks.ts
signature_webhooks_log                              14        6        8  domains\documents\signatures.ts
currency_enforcement_audit                          12        4        8  domains\finance\transfer-pricing.ts
conflict_review_committee                           12        4        8  domains\governance\conflicts.ts
conflict_training                                   12        4        8  domains\governance\conflicts.ts
conflict_audit_log                                  12        4        8  domains\governance\conflicts.ts
reserved_matter_votes                               25       17        8  domains\governance\governance.ts
voting_notifications                                12        4        8  domains\governance\voting.ts
fmv_audit_log                                       12        4        8  domains\infrastructure\trust-fmv.ts
pilot_metrics                                       12        4        8  domains\marketing.ts
certification_audit_log                             11        4        7  certification-management-schema.ts
newsletter_distribution_lists                       11        4        7  domains\communications\newsletters.ts
sms_templates                                       11        4        7  domains\communications\sms.ts
sms_conversations                                   11        4        7  domains\communications\sms.ts
pci_dss_quarterly_scans                             11        4        7  domains\compliance\pci-dss.ts
fx_rate_audit_log                                   11        4        7  domains\finance\transfer-pricing.ts
webhook_deliveries                                  19       12        7  integration-schema.ts
ticket_comments                                     11        4        7  domains\infrastructure\support.ts
impact_metrics                                      11        4        7  domains\marketing.ts
mobile_analytics                                    11        4        7  mobile-devices-schema.ts
policy_evaluations                                  11        4        7  policy-engine-schema.ts
ai_budgets                                          10        4        6  ai-chatbot-schema.ts
notification_log                                    12        6        6  clc-per-capita-schema.ts
clc_api_config                                      18       12        6  clc-sync-schema.ts
cms_pages                                           22       16        6  cms-website-schema.ts
donation_receipts                                   10        4        6  cms-website-schema.ts
dsr_activity_log                                    10        4        6  data-governance-schema.ts
grievance_approvals                                 11        5        6  domains\claims\workflows.ts
sms_campaign_recipients                             10        4        6  domains\communications\sms.ts
geofence_events                                     10        4        6  domains\compliance\geofence.ts
location_tracking_audit                             10        4        6  domains\compliance\geofence.ts
lmbp_compliance_reports                             22       16        6  domains\compliance\immigration.ts
pci_dss_saq_assessments                             10        4        6  domains\compliance\pci-dss.ts
pci_dss_requirements                                11        5        6  domains\compliance\pci-dss.ts
gl_account_mappings                                 18       12        6  domains\finance\accounting.ts
currency_enforcement_policy                         11        5        6  domains\finance\transfer-pricing.ts
bank_of_canada_rates                                11        5        6  domains\finance\transfer-pricing.ts
exchange_rates                                      10        4        6  domains\finance\transfer-pricing.ts
votes                                               13        7        6  domains\governance\voting.ts
ticket_history                                      10        4        6  domains\infrastructure\support.ts
fmv_policy                                          12        6        6  domains\infrastructure\trust-fmv.ts
ab_test_variants                                     9        4        5  ab-testing-schema.ts
ai_rate_limits                                       9        4        5  ai-chatbot-schema.ts
alert_recipients                                     9        4        5  alerting-automation-schema.ts
precedent_citations                                  9        4        5  arbitration-precedents-schema.ts
event_check_ins                                      9        4        5  cms-website-schema.ts
congress_memberships                                 9        4        5  congress-memberships-schema.ts
holidays                                             9        4        5  deadlines-schema.ts
pack_verification_log                               11        6        5  defensibility-packs-schema.ts
document_folders                                     9        4        5  documents-schema.ts
message_participants                                 9        4        5  domains\communications\messages.ts
survey_answers                                       9        4        5  domains\communications\surveys.ts
location_deletion_log                                9        4        5  domains\compliance\geofence.ts
pci_dss_cardholder_data_flow                         9        4        5  domains\compliance\pci-dss.ts
pci_dss_encryption_keys                              9        4        5  domains\compliance\pci-dss.ts
organization_billing_config                          9        4        5  domains\finance\billing-config.ts
conflict_of_interest_policy                         12        7        5  domains\governance\conflicts.ts
employment_history                                  12        7        5  domains\member\member-employment.ts
alert_conditions                                     8        4        4  alerting-automation-schema.ts
alert_actions                                        8        4        4  alerting-automation-schema.ts
audit_logs                                          20       16        4  audit-security-schema.ts
rate_limit_events                                    9        5        4  audit-security-schema.ts
automation_schedules                                 9        5        4  automation-rules-schema.ts
cms_navigation_menus                                 8        4        4  cms-website-schema.ts
documents                                           20       16        4  documents-schema.ts
report_shares                                        9        5        4  domains\analytics\reports.ts
newsletter_list_subscribers                          8        4        4  domains\communications\newsletters.ts
newsletter_engagement                                8        4        4  domains\communications\newsletters.ts
task_comments                                        8        4        4  domains\communications\organizer-workflows.ts
sms_opt_outs                                         8        4        4  domains\communications\sms.ts
poll_votes                                           8        4        4  domains\communications\surveys.ts
voting_options                                       8        4        4  domains\governance\voting.ts
shopify_config                                       8        4        4  domains\infrastructure\rewards.ts
pilot_applications                                  19       15        4  domains\marketing.ts
ab_test_events                                       7        4        3  ab-testing-schema.ts
budget_reservations                                  9        6        3  award-templates-schema.ts
clc_remittance_mapping                              13       10        3  clc-sync-schema.ts
message_notifications                                8        5        3  domains\communications\messages.ts
lmbp_compliance_alerts                              22       19        3  domains\compliance\immigration.ts
external_employees                                  22       19        3  domains\data\hris.ts
lrb_agreements                                      36       33        3  domains\data\lrb.ts
dues_transactions                                   30       27        3  domains\finance\dues.ts
data_aggregation_consent                             7        4        3  domains\marketing.ts
segment_executions                                   7        4        3  domains\member\member-segments.ts
model_metadata                                       7        4        3  domains\ml\predictions.ts
financial_periods                                   18       15        3  dues-finance-schema.ts
bargaining_team_members                             19       17        2  bargaining-negotiations-schema.ts
clc_union_density                                   21       19        2  clc-partnership-schema.ts
clc_bargaining_trends                               20       18        2  clc-partnership-schema.ts
clc_oauth_tokens                                    11        9        2  clc-partnership-schema.ts
per_capita_remittances                              32       30        2  clc-per-capita-schema.ts
clc_webhook_log                                     23       21        2  clc-sync-schema.ts
job_saved                                            6        4        2  cms-website-schema.ts
sms_rate_limits                                      6        4        2  domains\communications\sms.ts
payment_routing_rules                               11        9        2  domains\compliance\whiplash.ts
integration_api_keys                                15       13        2  domains\infrastructure\integrations.ts
webhook_receipts                                     7        5        2  domains\infrastructure\rewards.ts
organization_sharing_settings                       17       15        2  domains\infrastructure\sharing.ts
ab_test_assignments                                  5        4        1  ab-testing-schema.ts
failed_login_attempts                                6        5        1  audit-security-schema.ts
clc_per_capita_benchmarks                           25       24        1  clc-partnership-schema.ts
clc_sync_log                                        23       22        1  clc-sync-schema.ts
grievance_timeline                                  11       10        1  domains\claims\grievances.ts
message_read_receipts                                5        4        1  domains\communications\messages.ts
lrb_sync_log                                        16       15        1  domains\data\lrb.ts
account_mappings                                    10        9        1  domains\financial\chart-of-accounts.ts
integration_sync_logs                               18       17        1  integration-schema.ts

--- TABLES MISSING FROM STAGING ---
  external_calendar_connections (23 cols, calendar-schema.ts)
  grievance_events (6 cols, domains\claims\grievance-lifecycle.ts)
  employer_contacts (15 cols, domains\communications\employer-communications.ts)
  employer_communications (20 cols, domains\communications\employer-communications.ts)
  communication_templates (12 cols, domains\communications\employer-communications.ts)
  employer_reports (5 cols, domains\compliance\employer-compliance.ts)
  compliance_alerts (8 cols, domains\compliance\employer-compliance.ts)
  dispatch_requests (10 cols, domains\dispatch\dispatch.ts)
  dispatch_assignments (7 cols, domains\dispatch\dispatch.ts)
  dispatch_rules (7 cols, domains\dispatch\dispatch.ts)
  pension_plans (12 cols, domains\finance\pension.ts)
  pension_members (13 cols, domains\finance\pension.ts)
  pension_contributions (11 cols, domains\finance\pension.ts)
  pension_benefit_claims (13 cols, domains\finance\pension.ts)
  pension_t4a_records (11 cols, domains\finance\pension.ts)
  pension_trustees (11 cols, domains\finance\pension.ts)
  pension_trustee_meetings (12 cols, domains\finance\pension.ts)
  union_dues_receipts (42 cols, domains\finance\taxes.ts)
  union_dues_year_end (17 cols, domains\finance\taxes.ts)
  governance_bylaws (10 cols, domains\governance\bylaws.ts)
  governance_policies (11 cols, domains\governance\governance-policies.ts)
  governance_signatories (13 cols, domains\governance\signatories.ts)
  strategic_goals (12 cols, domains\governance\strategic-goals.ts)
  international_addresses (42 cols, domains\infrastructure\addresses.ts)
  country_address_formats (27 cols, domains\infrastructure\addresses.ts)
  address_validation_cache (18 cols, domains\infrastructure\addresses.ts)
  address_change_history (9 cols, domains\infrastructure\addresses.ts)
  feature_flags (13 cols, domains\infrastructure\features.ts)
  organization_sharing_grants (14 cols, domains\infrastructure\sharing.ts)
  user_uuid_mapping (4 cols, domains\infrastructure\uuid-mapping.ts)
  pending_profiles (18 cols, domains\member\pending-profiles.ts)
  stewards (10 cols, domains\member\stewards.ts)
  users (29 cols, domains\member\user-management.ts)
  organization_users (13 cols, domains\member\user-management.ts)
  user_sessions (12 cols, domains\member\user-management.ts)
  oauth_providers (10 cols, domains\member\user-management.ts)
  ai_clause_reasonings (24 cols, domains\ml\ai-clause-reasoning.ts)
  ai_copilot_sessions (23 cols, domains\ml\ai-copilot-sessions.ts)
  ai_grievance_triages (21 cols, domains\ml\ai-grievance-triage.ts)
  ai_insight_reports (18 cols, domains\ml\ai-insight-reports.ts)
  employer_risk_scores (18 cols, domains\ml\employer-risk-scores.ts)
  member_contact_preferences (23 cols, member-profile-v2-schema.ts)
  member_employment_details (38 cols, member-profile-v2-schema.ts)
  member_consents (19 cols, member-profile-v2-schema.ts)
  member_history_events (16 cols, member-profile-v2-schema.ts)
  sso_providers (29 cols, sso-scim-schema.ts)
  scim_configurations (22 cols, sso-scim-schema.ts)
  sso_sessions (20 cols, sso-scim-schema.ts)
  scim_events_log (18 cols, sso-scim-schema.ts)
  mfa_configurations (19 cols, sso-scim-schema.ts)

Full report written to scripts/stub-audit-report.json
